Date,Val,Open,High,Low,Close,Adj Close,Volume,N. D. C.,Five Out,Thirty Out
9/23/2015,183,129.3099976,129.4900055,128.3099976,129.1600037,129.1600037,2947800,128.8300018,130.3999939,137.4299927
9/24/2015,184,128.25,129.2200012,127.75,128.8300018,128.8300018,3705600,129.6399994,129.8800049,136.5700073
9/25/2015,185,130.0299988,130.5800018,129,129.6399994,129.6399994,3487200,128.6199951,129.8300018,136.3300018
9/28/2015,186,128.5899963,129.2599945,128.3999939,128.6199951,128.6199951,4412400,128.8099976,132.3800049,134
9/29/2015,187,128.4400024,128.9600067,127.6699982,128.8099976,128.8099976,4071500,130.3999939,131.1900024,134.7299957
9/30/2015,188,129.8600006,130.3999939,128.6699982,130.3999939,130.3999939,4726900,129.8800049,132.6799927,134.9600067
10/1/2015,189,130.5500031,131.3999939,129.2799988,129.8800049,129.8800049,3962200,129.8300018,133.75,132.7799988
10/2/2015,190,128.5,129.9400024,127.4599991,129.8300018,129.8300018,5183800,132.3800049,133.0299988,131.9600067
10/5/2015,191,130.5,132.4400024,130.3800049,132.3800049,132.3800049,3885400,131.1900024,133.3999939,133.3000031
10/6/2015,192,132.2899933,132.4100037,130.9400024,131.1900024,131.1900024,4804800,132.6799927,132.1900024,133.0899963
10/7/2015,193,132.0500031,133.3200073,131.7599945,132.6799927,132.6799927,3423400,133.75,131.1799927,136.2200012
10/8/2015,194,132.2799988,134,132.2400055,133.75,133.75,2734300,133.0299988,133.8000031,136.6300049
10/9/2015,195,133.7200012,134.3800049,132.1799927,133.0299988,133.0299988,3202100,133.3999939,133.8099976,136.6300049
10/12/2015,196,133.3999939,134.0500031,132.8600006,133.3999939,133.3999939,1973600,132.1900024,133.6199951,135.9900055
10/13/2015,197,133,133.2700043,131.9100037,132.1900024,132.1900024,2802400,131.1799927,134.1600037,135.5399933
10/14/2015,198,132,132.4499969,131.0500031,131.1799927,131.1799927,3125100,133.8000031,133.2200012,135.1300049
10/15/2015,199,131.9799957,133.8300018,131.5500031,133.8000031,133.8000031,3273300,133.8099976,137.2899933,134.6300049
